edad,nivel_educacion,estado_civil,tipo_empleo,region,historial_credito,ingreso_mensual,monto_solicitado,antiguedad_empleo,aprobado
47,Posgrado,Soltero,Autonomo,Norte,Bueno,5767.776887420419,5077.667434263452,11,1
49,Secundaria,Divorciado,Empleado,Oeste,Bueno,7794.093309982252,45847.342317507166,10,1
40,Universitario,Casado,Empleado,Oeste,Regular,1402.5031153834207,20808.8730381925,16,1
64,Tecnico,Soltero,Empleado,Norte,Bueno,7288.812965440083,20290.133010562047,5,1
26,Tecnico,Casado,Empleado,Este,Malo,1707.939411109347,15835.013160279708,7,1
54,Tecnico,Casado,Desempleado,Centro,Excelente,3629.303407784112,23572.523490824486,9,1
41,Secundaria,Soltero,Empleado,Centro,Regular,6930.358613584023,13336.209940726954,24,1
51,Posgrado,Casado,Desempleado,Este,Regular,7325.030504512651,19367.761367043422,14,1
29,Universitario,Casado,Autonomo,Centro,Regular,4445.876049525046,40197.40538065921,3,1
59,Posgrado,Soltero,Autonomo,Este,Excelente,5077.5533955830615,41878.51967567342,17,0
38,Universitario,Divorciado,Empleado,Sur,Bueno,5898.660809109611,15904.941403797291,10,1
22,Universitario,Divorciado,Autonomo,Centro,Excelente,6795.862412859542,23981.707097086608,8,1
24,Posgrado,Casado,Empleado,Este,Bueno,1674.8804206711964,43817.16903772256,8,1
47,Secundaria,Casado,Autonomo,Este,Regular,6632.499019250439,3580.9932596551594,7,0
52,Secundaria,Casado,Empleado,Este,Regular,4265.188283683641,44568.103137793485,2,1
29,Secundaria,Casado,Desempleado,Centro,Bueno,4044.4886607788167,11740.032936964253,20,0
64,Tecnico,Casado,Pensionado,Centro,Bueno,3852.078214378387,34248.42296650442,17,0
29,Tecnico,Soltero,Empleado,Este,Bueno,4466.323413771506,29545.033122845412,13,1
56,Secundaria,Casado,Empleado,,Regular,7604.3639844411455,28094.096661273354,2,1
60,Universitario,Divorciado,Autonomo,Este,Excelente,4747.067164103491,43108.651012888244,16,1
49,Tecnico,Casado,Empleado,Este,Regular,7662.878275494602,5977.035038588402,3,1
25,Secundaria,Soltero,Desempleado,Sur,Excelente,2098.088940432612,18004.373240956167,20,0
37,Tecnico,Casado,Empleado,Oeste,Malo,6013.779047594959,27374.384570893515,17,1
34,Secundaria,Soltero,Empleado,Este,Bueno,6648.12467798298,40753.15384335595,14,1
41,Universitario,Soltero,Pensionado,Sur,Regular,5689.727585611005,11605.711087171903,18,1
26,Secundaria,Soltero,Autonomo,Norte,Bueno,5169.8404176310905,40343.562227339535,21,0
58,Posgrado,Soltero,Autonomo,Sur,Bueno,4866.652023820512,20582.285642202853,5,0
41,Universitario,Casado,Empleado,Centro,Bueno,6998.699474566611,10256.778965251075,14,1
45,Secundaria,Casado,Autonomo,Sur,Bueno,6715.855499584401,38190.33558173065,6,1
57,Secundaria,Soltero,Empleado,Norte,Bueno,1680.4787925003166,5454.0461722528435,11,1
55,Universitario,Divorciado,Autonomo,Este,Bueno,6909.831130622322,26223.601329696703,15,1
55,Universitario,Divorciado,Autonomo,Sur,Excelente,3781.294059971186,4129.913409232532,8,1
40,Universitario,Divorciado,Empleado,Norte,Regular,2626.6171759698377,18464.474902731592,19,1
38,Universitario,Soltero,Empleado,Sur,Bueno,7062.333689700266,30452.76315131324,4,0
26,Secundaria,Casado,Empleado,Este,Bueno,3910.5785573629396,28249.66153287344,10,1
46,Tecnico,Viudo,Autonomo,Este,Bueno,6620.22576927308,20828.115477328658,1,0
39,Secundaria,Casado,Empleado,Sur,Bueno,2696.5060060820806,22023.351704633667,21,1
29,Universitario,Soltero,Autonomo,Este,Regular,828.2911142399681,12111.70811418756,15,0
48,Universitario,Soltero,Empleado,Centro,Regular,4367.3061889012,23338.246832781042,3,1
36,Tecnico,Casado,Autonomo,Sur,Regular,1521.6434478287667,47709.48793032088,4,0
34,Secundaria,Divorciado,Autonomo,Sur,Regular,6231.506879779349,42672.192971405726,6,1
37,Tecnico,Casado,Empleado,Sur,Bueno,2787.7409796997545,8116.410584740846,5,1
43,Tecnico,Casado,Empleado,Este,Bueno,3994.248655545047,2459.2585787251255,23,1
41,Universitario,Soltero,Empleado,Oeste,Excelente,1426.6416686591906,46742.6913231149,21,1
34,Universitario,Casado,Autonomo,Sur,Bueno,2863.946588820219,26810.737744156635,9,1
41,Universitario,Divorciado,Autonomo,Oeste,Malo,6426.7297514617185,27354.05333431608,13,0
23,Tecnico,Soltero,Empleado,Norte,Excelente,1891.4329656967002,39255.18178961959,7,1
56,Secundaria,Casado,Autonomo,Este,Excelente,5459.548840114093,16419.759719695,13,1
40,Universitario,Viudo,Empleado,Oeste,Bueno,7405.466140192409,24613.470872964106,13,1
58,Universitario,Soltero,,Sur,Bueno,5694.824670255586,48464.48274419014,19,1
27,Universitario,Casado,Desempleado,Este,Excelente,6639.356162904033,33935.28565968795,22,1
35,Universitario,Soltero,Empleado,Sur,Bueno,1584.5957309881937,8533.50656779351,2,0
25,Tecnico,Casado,Empleado,Oeste,Excelente,2605.269147214792,7528.110651233312,0,1
43,Tecnico,Casado,Empleado,,Malo,7240.679736132255,11008.973158317263,8,0
60,Tecnico,Casado,Empleado,Centro,Regular,5948.760418050242,38568.87204661516,8,1
57,Secundaria,Casado,Empleado,Norte,Bueno,5404.78754991664,15473.473188190186,21,1
55,Secundaria,Soltero,Empleado,Centro,Bueno,5579.12050007624,2048.0534870789097,1,1
48,Secundaria,Divorciado,Autonomo,Sur,Excelente,3782.243990993433,47264.54381177743,15,0
28,Universitario,Casado,Empleado,Oeste,Excelente,1120.807747647103,9315.957403350623,7,1
24,Tecnico,Soltero,Empleado,Sur,Bueno,6447.979102909249,1468.3511212553606,5,0
54,Tecnico,Casado,Empleado,Centro,Malo,5686.735300750548,12619.448516782826,22,1
23,Posgrado,Casado,Empleado,Norte,Excelente,4204.192141611618,12516.410568788551,12,1
63,Secundaria,Soltero,Autonomo,Norte,Bueno,7278.269230651454,21678.25729144043,0,1
37,Tecnico,Divorciado,Pensionado,Este,Regular,3220.349587892712,46099.10174350181,18,1
46,Universitario,Divorciado,Empleado,Norte,Bueno,2919.1165584648984,44080.0609711758,14,1
36,Secundaria,Soltero,Desempleado,Norte,Bueno,7084.133540571988,23387.83319413897,0,0
45,Secundaria,Viudo,Empleado,Centro,Bueno,6538.311114264696,21134.095344598518,9,0
36,Secundaria,Soltero,Empleado,Centro,Bueno,4507.854636668082,28195.44523726771,0,1
52,Secundaria,Soltero,Empleado,Sur,Regular,1741.2901240965198,12929.246586616522,11,0
35,Posgrado,Soltero,Empleado,Centro,Excelente,2348.5145945483778,3557.064606351779,10,1
35,Universitario,Divorciado,Empleado,Este,Bueno,5524.841530943408,47021.98267238913,16,1
27,Universitario,Casado,Autonomo,Sur,Bueno,3572.296912450964,10148.250258981465,3,1
35,Universitario,Soltero,Empleado,Oeste,Regular,6822.606979994993,10721.635733040102,22,1
38,Universitario,Casado,Desempleado,Oeste,Bueno,7639.67606719187,24150.556113843435,6,1
39,Secundaria,Casado,Empleado,Centro,Regular,6600.585861979412,25089.053897176203,11,1
41,Universitario,Soltero,Empleado,Sur,Regular,3518.3270455680117,1903.2762753363552,12,1
38,Tecnico,Divorciado,Autonomo,Oeste,Bueno,6478.542290466254,8249.782199924564,4,0
37,Universitario,Divorciado,Empleado,Norte,Regular,3330.380048988921,19529.586109476346,5,1
61,Universitario,Casado,Empleado,Norte,Bueno,2003.120631912564,34502.80398201641,1,0
60,Tecnico,Viudo,Autonomo,Norte,Regular,1040.4310750341733,12192.504384764856,20,0
53,Secundaria,Casado,Desempleado,Centro,Bueno,3577.160331879344,21727.70786584637,6,1
30,Secundaria,Viudo,Autonomo,Centro,Regular,7305.626986620429,28309.908171106876,13,1
48,Tecnico,Casado,Autonomo,Oeste,Malo,2520.7034318408705,44541.03223654131,24,0
54,Universitario,Casado,Autonomo,Este,Regular,2286.8947874944447,16977.45461402904,21,0
31,Universitario,Soltero,Desempleado,Sur,Excelente,7782.70965373549,7544.355027310692,13,0
38,Secundaria,Divorciado,Empleado,Norte,Excelente,980.0296125242633,24974.3390689828,9,0
57,Tecnico,Casado,Empleado,Sur,Regular,6457.631482835031,37589.35848251904,3,1
38,Tecnico,Soltero,Empleado,Sur,Bueno,3113.8636813342664,6383.128095583938,2,0
39,Secundaria,Soltero,Empleado,Oeste,Bueno,1069.9132894615473,21809.49109315106,24,1
44,Secundaria,Casado,Autonomo,Este,Excelente,7408.178289509002,1871.4719218616879,22,1
55,Tecnico,Casado,Autonomo,Norte,Bueno,1805.424777509002,2644.3999007153056,13,0
29,Posgrado,Casado,Empleado,Norte,Bueno,4772.810842825007,24664.714797616616,5,1
34,Tecnico,Divorciado,Empleado,Norte,Malo,2773.190293492744,15611.667609395543,22,0
44,Tecnico,Soltero,Autonomo,Este,Bueno,1269.3881757297754,42410.257651265194,14,0
41,Universitario,Casado,Empleado,Centro,Excelente,1159.4418967763295,30505.56100019626,7,1
43,Tecnico,Soltero,Autonomo,Oeste,Bueno,1632.0082316216394,23242.71512540653,4,0
44,Posgrado,Divorciado,Empleado,Centro,Regular,1313.8425000035363,20988.83318166052,2,1
62,Posgrado,Divorciado,Empleado,Este,Regular,6276.018431743445,25365.0285292886,2,1
56,Secundaria,Casado,Empleado,Sur,Bueno,4296.0766564406895,2981.5027294204056,12,1
24,Tecnico,Casado,Empleado,Norte,Bueno,3268.8230577126537,44746.87446461234,1,1
55,Tecnico,Soltero,Autonomo,Centro,Bueno,3812.2561529504515,49916.85463096396,23,0
54,Secundaria,Casado,Desempleado,Oeste,Excelente,7488.416496122888,9892.869118076234,0,1
38,Secundaria,Divorciado,Autonomo,Norte,Malo,7357.41305171466,6898.765273956367,11,0
40,Universitario,Casado,Empleado,Este,Regular,5952.870656882554,8035.295708981166,7,1
51,Tecnico,Soltero,Empleado,Este,Excelente,7169.713117436152,33390.32585348399,18,1
44,Secundaria,Casado,Autonomo,Oeste,Regular,3101.4657986308985,33410.60108408796,8,0
36,Secundaria,Divorciado,Autonomo,Centro,Regular,3543.9871472596365,42548.28395164214,13,1
35,Posgrado,Soltero,Empleado,Este,Bueno,5218.727709350442,37839.49303288641,17,0
23,Secundaria,Soltero,Empleado,Este,Excelente,5290.106820540302,23034.793995097647,9,1
60,Secundaria,Casado,Autonomo,Norte,Regular,4268.238833688854,31029.912716700623,8,1
39,Tecnico,Divorciado,Empleado,Norte,Excelente,3684.7365087532635,34725.948848032385,5,0
27,Posgrado,Soltero,Empleado,Norte,Bueno,7900.498243582605,26124.087043976033,0,1
53,Secundaria,Soltero,,Norte,Regular,6712.090108047615,24306.898238130198,4,0
42,Universitario,Soltero,Empleado,Oeste,Bueno,3931.8574247939255,32609.77483649001,9,1
61,Universitario,Soltero,Desempleado,Oeste,Bueno,6036.505836124893,28316.252899807034,24,1
49,Secundaria,Casado,Pensionado,Norte,Bueno,2740.8441914177083,32553.172961459608,12,0
48,Universitario,Casado,Empleado,Centro,Bueno,1521.2191489087752,31029.883924204827,21,1
23,Tecnico,Casado,Empleado,Norte,Excelente,3337.5033839797325,36240.63146516908,22,1
54,Universitario,Casado,Empleado,Sur,Regular,3701.404160888438,32497.37193036093,3,1
37,Universitario,Soltero,Empleado,Sur,Bueno,919.0672968368298,26467.3818354261,0,1
60,Tecnico,Divorciado,Empleado,Sur,Bueno,6666.5024117784515,34408.04375293494,20,0
43,Secundaria,Casado,Autonomo,Sur,Bueno,3386.192497202107,23024.616294085976,1,0
64,Universitario,Viudo,Empleado,Este,Bueno,4979.010793617059,12841.890072657452,23,1
34,Tecnico,Casado,Empleado,Este,Malo,1332.534948350883,1069.4927865618574,3,0
23,Secundaria,Soltero,Empleado,Centro,Bueno,2059.9771670042046,28438.243210146316,16,0
35,Secundaria,Casado,Empleado,Norte,Bueno,7205.794822358432,29942.106103823407,9,1
59,Universitario,Soltero,Empleado,Norte,Regular,5182.550200756165,48630.39927401,22,1
62,Universitario,Casado,Empleado,Norte,Excelente,7642.0451612274965,18712.4383706195,11,1
49,Secundaria,Soltero,Pensionado,Oeste,Excelente,7991.000247617482,20312.528898587276,1,1
28,Tecnico,Soltero,Empleado,Norte,Bueno,3477.3928303982793,10888.179485767321,2,1
39,Secundaria,Divorciado,Empleado,Centro,Regular,2951.382061399577,4456.1804666287735,13,0
62,Universitario,Soltero,Desempleado,Este,Bueno,6980.163597145496,38867.42015022529,24,1
57,Secundaria,Divorciado,Pensionado,Este,Regular,7990.00227466967,13234.372152626926,14,1
62,Universitario,Soltero,Empleado,Este,Regular,5333.416886473693,30836.33819047186,12,1
57,Tecnico,Casado,Autonomo,Norte,Bueno,6525.013202082961,34700.87874172859,8,1
25,Posgrado,Casado,Empleado,Norte,Malo,6428.570183469977,24090.597677290738,1,1
51,Secundaria,Casado,Empleado,Sur,Malo,3358.4458991807383,43941.25353833239,18,1
45,Tecnico,Soltero,Empleado,Este,Malo,4934.746737851028,22745.94720800671,15,1
41,Secundaria,Soltero,Autonomo,Sur,Regular,6798.009977102338,14960.522529046491,10,1
52,Posgrado,Soltero,Autonomo,Norte,Malo,5754.419909079599,44904.760625119496,11,1
45,Universitario,Soltero,Empleado,Centro,Excelente,952.3794606706755,43216.64992824787,24,1
28,Secundaria,Casado,Empleado,Norte,Regular,3224.2808160622412,9037.957406744237,0,1
47,Universitario,Divorciado,Autonomo,Centro,Regular,1840.2250154811586,2272.0898993421265,1,0
34,Universitario,Divorciado,Empleado,Oeste,Regular,2477.3999269618816,5409.292261131413,15,1
29,Universitario,Casado,Empleado,Sur,Excelente,7319.524237937545,15040.822529137036,1,1
26,Tecnico,Casado,Autonomo,Norte,Bueno,1065.6316801575308,48640.73028534382,18,1
34,Secundaria,Casado,Autonomo,Norte,Bueno,2382.565126125851,28367.291504880428,9,0
50,Secundaria,Soltero,Autonomo,Oeste,Excelente,3028.8993361152666,19289.82486943417,18,1
41,Universitario,Divorciado,,Oeste,Bueno,5241.565318158043,44547.08863602457,9,0
35,Posgrado,Casado,,Oeste,Regular,4645.5321686182315,23203.68024244648,15,1
53,Universitario,Casado,Autonomo,Centro,Regular,2371.5402765443796,16446.692791650035,12,0
48,Tecnico,Soltero,Autonomo,Oeste,Bueno,1982.535684006712,47119.75690853721,15,0
46,Tecnico,Casado,Empleado,Norte,Regular,2504.945849092055,42626.36564344122,17,0
25,Universitario,Casado,Empleado,Sur,Bueno,4418.213312251921,42339.750395552604,23,1
42,Universitario,Divorciado,Empleado,Centro,Regular,2752.4800571206647,26101.952409460442,7,0
39,Universitario,Casado,Empleado,Sur,Bueno,7622.7380115756,39682.48154195729,23,1
60,Universitario,Soltero,Autonomo,Norte,Malo,4139.829594287703,9788.314603963041,17,0
36,Universitario,Viudo,Autonomo,Oeste,Regular,1223.331319121387,29087.924920255937,12,0
59,Secundaria,Soltero,Empleado,Este,Bueno,6050.718122023761,49208.45021952974,24,1
45,Secundaria,Casado,Empleado,Centro,Excelente,3167.686075104725,15256.96309538012,6,1
29,Universitario,Soltero,Pensionado,Oeste,Bueno,5505.120310819382,39923.26413313609,20,1
49,Universitario,Casado,Empleado,Norte,Bueno,2813.07946776727,25033.441953195295,22,1
42,Secundaria,Divorciado,Empleado,Centro,Regular,4909.354940479903,2950.478477882279,23,1
37,Secundaria,Soltero,Empleado,Sur,Regular,6359.498034613745,38387.950492967706,24,1
37,Universitario,Divorciado,Empleado,Sur,Malo,7481.662940776789,9259.888075213526,17,1
56,Secundaria,Soltero,Empleado,Este,Regular,2680.115439918155,31942.204789504758,5,0
38,Secundaria,Divorciado,Empleado,Norte,Regular,3210.9700471926644,5197.545508301672,8,1
30,Tecnico,Casado,Empleado,Este,Regular,4142.718226058765,47396.502477302274,5,1
56,Universitario,Divorciado,Empleado,Norte,Bueno,7475.65883169912,15294.470471837685,17,1
50,Universitario,Soltero,Empleado,Este,Malo,7289.985369036731,12096.769892192351,16,1
60,Secundaria,Viudo,Empleado,Sur,Bueno,1447.1236167245938,7327.6837992503815,11,1
39,Universitario,Casado,Autonomo,Oeste,Bueno,1749.894745427438,47354.10747361334,2,0
33,Secundaria,Soltero,Autonomo,Centro,Bueno,4367.666076780595,35883.28337962395,4,0
40,Tecnico,Divorciado,Empleado,Norte,Bueno,1567.658764199049,37341.38354718634,6,0
43,Universitario,Soltero,Empleado,Sur,Regular,3288.182288110622,25470.823507631983,9,1
36,Universitario,Divorciado,Autonomo,Sur,Regular,1868.3747231658392,24261.66147825369,9,1
22,Universitario,Soltero,Empleado,Norte,Bueno,5379.490556949578,6391.040906582355,18,1
23,Universitario,Casado,Empleado,Oeste,Excelente,7636.367108521965,28432.213683615595,24,1
29,Universitario,Casado,Autonomo,Oeste,Regular,7976.483146119546,13098.90826033073,3,1
43,Secundaria,Soltero,Desempleado,,Malo,3501.7361539777867,48880.12130721989,9,0
46,Tecnico,Soltero,Autonomo,Sur,Excelente,5112.890987225209,40032.46606074222,17,1
23,Secundaria,Soltero,Empleado,Norte,Regular,6965.127105373385,21236.610949451493,2,1
30,Secundaria,Casado,Autonomo,,Bueno,1645.7269241339648,8415.721675885117,20,1
30,Posgrado,Soltero,Empleado,Norte,Bueno,5764.8637595741475,39481.252865800416,2,0
34,Tecnico,Casado,Autonomo,Centro,Regular,3743.674364420491,6980.634586984484,4,1
27,Universitario,Soltero,Empleado,Oeste,Bueno,2284.2523540171815,10277.353921356455,15,1
51,Universitario,Soltero,Empleado,Sur,Bueno,3699.8260549815823,11364.505369467144,19,1
36,Universitario,Casado,Autonomo,Este,Regular,1346.9140661474014,28287.641275381626,12,0
36,Tecnico,Soltero,Empleado,Centro,Bueno,5806.931469843002,39565.77604552795,10,0
28,Universitario,Divorciado,Empleado,Este,Bueno,2619.747214988862,16401.42905750992,12,1
32,Tecnico,Divorciado,Desempleado,Norte,Bueno,3042.1206443231217,5148.820899489181,18,1
61,Secundaria,Casado,Empleado,Sur,Malo,1671.7853473385317,23762.38471269654,5,1
59,Universitario,Casado,Empleado,Centro,Bueno,7025.54562000722,37657.40181683684,23,1
61,Secundaria,Divorciado,Empleado,Oeste,Bueno,4352.7988108357185,11861.528311282027,12,1
23,Secundaria,Soltero,Autonomo,Oeste,Bueno,4919.457520062082,11776.302853929337,3,0
60,Universitario,Soltero,Autonomo,Centro,Bueno,4899.915318282953,47414.12433998883,24,1
31,Secundaria,Soltero,Empleado,Centro,Regular,3755.5504246976607,47753.53262883972,21,1
38,Posgrado,Casado,Autonomo,Centro,Bueno,2186.215391154604,49532.82087101724,4,1
28,Posgrado,Soltero,Empleado,Norte,Bueno,6164.95578918848,40575.32047716423,18,1
61,Posgrado,Casado,Autonomo,Este,Malo,1714.8051105752552,10221.024289229332,4,0
60,Tecnico,Viudo,Empleado,Oeste,Bueno,1547.8912900074356,11387.094519163806,20,0
25,Secundaria,Divorciado,,Oeste,Regular,5913.044270694824,17671.036834597206,13,1
56,Posgrado,Casado,Desempleado,Oeste,Bueno,2303.6265472542837,16588.49403534105,3,1
57,Tecnico,Soltero,Empleado,Norte,Regular,3008.763809740393,47869.85970482245,11,1
52,Posgrado,Divorciado,Empleado,Oeste,Bueno,4221.63776241253,39664.62516120299,5,1
46,Posgrado,Casado,Empleado,Oeste,Excelente,4035.3294804527327,36476.43081591614,18,1
62,Universitario,Soltero,Pensionado,Norte,Bueno,5901.769700467994,10112.197978848459,9,1
34,Secundaria,Soltero,Empleado,Este,Excelente,5288.708912792199,45566.75240875415,0,1
39,Tecnico,Divorciado,Empleado,Norte,Excelente,5439.652368429433,41565.648595802515,22,1
42,Universitario,Casado,Empleado,Sur,Malo,5941.191180719293,9018.45022506826,22,1
22,Tecnico,Divorciado,Empleado,Norte,Bueno,2906.8116374489505,43687.346266087654,15,1
57,Secundaria,Divorciado,Empleado,Este,Bueno,3120.79984496341,14340.129282153093,3,0
29,Universitario,Casado,Autonomo,Este,Excelente,3953.5837848479896,4962.617545773196,8,1
42,Posgrado,Casado,Pensionado,Oeste,Regular,3013.7276458413876,33184.293019196295,17,0
64,Universitario,Casado,Empleado,Oeste,Excelente,7891.552656590216,33036.428309832205,16,1
42,Universitario,Soltero,Empleado,Centro,Bueno,6661.173870234294,5651.6684687152865,14,1
48,Secundaria,Casado,Empleado,Sur,Bueno,1985.513755443413,16623.738637892537,18,0
40,Universitario,Casado,Empleado,Norte,Malo,840.2779223494605,49647.90865052139,6,1
44,Posgrado,Casado,Desempleado,Centro,Regular,1108.0395313803285,34242.906683428104,24,0
64,Secundaria,Divorciado,Empleado,Norte,Bueno,2557.256847509062,36773.68316356313,17,0
56,Tecnico,Casado,Empleado,Centro,Malo,1622.8972580253671,11432.946994610978,5,1
61,Universitario,Casado,Autonomo,Centro,Excelente,4640.034427226519,4860.321479191802,18,1
63,Universitario,Casado,Empleado,Este,Malo,6977.565603636982,14568.182797305944,20,1
26,Universitario,Casado,Autonomo,Centro,Bueno,6104.601590575237,13196.020874466407,11,1
62,Universitario,Casado,Empleado,Norte,Bueno,2352.385254191771,12492.660936654602,24,1
29,Tecnico,Soltero,Autonomo,Sur,Bueno,3674.954643385658,10444.961772464938,2,0
32,Secundaria,Casado,Desempleado,Oeste,Bueno,4456.838308625199,29163.02884211481,0,1
37,Universitario,Soltero,,Sur,Regular,6633.482116424016,17077.070316249265,4,1
60,Universitario,Soltero,Pensionado,Centro,Regular,6841.675542364386,41196.90573732899,0,1
45,Universitario,Casado,Empleado,Norte,Malo,7349.971845735987,10013.423474521816,7,1
42,Posgrado,Casado,Empleado,Este,Bueno,4466.5658036207005,23766.72647255868,6,1
44,Tecnico,Viudo,Autonomo,Este,Bueno,5798.778174338213,1669.2339848779193,14,0
59,Tecnico,Casado,Empleado,Oeste,Bueno,1604.9626728843475,24602.43380030441,10,1
29,Universitario,Casado,Empleado,Sur,Bueno,4870.0805116686715,3736.072822947245,17,1
28,Universitario,Casado,Empleado,Sur,Bueno,2590.581028192173,48908.45208175954,13,1
23,Universitario,Casado,Empleado,Centro,Bueno,3908.3615721916,39739.01430387023,8,1
51,Universitario,Soltero,Empleado,Norte,Malo,5365.16365980838,25015.462355186315,4,0
34,Universitario,Soltero,Empleado,Centro,Regular,2650.298752547224,5242.780550788163,22,0
44,Tecnico,Soltero,Autonomo,Este,Excelente,1175.7324161366798,30029.8265987303,3,1
50,Tecnico,Casado,Empleado,Oeste,Excelente,873.6837661430541,38179.423784392,11,1
59,Secundaria,Soltero,Empleado,Oeste,Regular,959.5486559205551,10345.14539723252,0,0
58,Universitario,Soltero,Empleado,Sur,Bueno,860.1181100991415,28842.208698587052,23,1
41,Secundaria,Soltero,Empleado,Este,Excelente,1594.5564072167035,40896.33402076053,12,0
54,Tecnico,Viudo,Desempleado,Centro,Bueno,2524.318744904935,38644.1411046695,0,0
50,Tecnico,Soltero,Empleado,Este,Malo,2392.794902112554,40346.60887549049,2,0
36,Secundaria,Casado,Empleado,Centro,Malo,7904.935478095256,44086.84781861627,21,1
44,Universitario,Soltero,Autonomo,,Bueno,3003.2439575043913,46946.42300581404,7,0
63,Secundaria,Casado,Empleado,Norte,Excelente,1717.4296401876736,20870.536604973262,23,1
24,Secundaria,Soltero,Empleado,Sur,Bueno,4728.050318007858,28869.686023620987,17,1
58,Universitario,Soltero,Empleado,Centro,Malo,6977.29367886206,39742.31677623493,24,1
50,Tecnico,Casado,Desempleado,Sur,Regular,5682.034712871261,35159.85088334337,15,1
29,Secundaria,Soltero,Empleado,Centro,Bueno,2931.7910417752423,49780.49118495456,19,1
43,Tecnico,Soltero,Empleado,Centro,Excelente,4843.636350498476,1670.2049041275627,19,1
50,Universitario,Soltero,Empleado,Sur,Bueno,5946.963014242946,18401.527550473744,15,1
