edad,salario,años_experiencia,horas_trabajo,satisfaccion,num_proyectos,num_empleados,departamento,ciudad,genero,nivel_educacion,tamaño_empresa
21,31903.752883040208,-1.0,34.24423131723565,9.096915344943783,4,100,Marketing,Barcelona,M,Grado,Grande
36,32919.65173018358,9.009018088746501,25.804606702572865,8.1704943902695,1,10,RRHH,Sevilla,F,Bachillerato,Grande
42,35038.3820738561,6.1701062946754055,35.95309589458623,8.5527689177708,3,500,Ventas,Sevilla,M,Máster,Mediana
36,35645.88109089143,14.0,44.78351593192829,8.408543977763069,4,10,Ventas,Valencia,M,Grado,Pequeña
33,52251.02421409062,3.968015651612849,42.58473257874186,9.504390616487845,4,100,Marketing,Barcelona,F,Bachillerato,Pequeña
31,37271.07899815764,9.0,38.89243368523938,8.26945221262787,5,1000,RRHH,Sevilla,M,Grado,Pequeña
20,52382.091079942235,-2.0,39.888498581409735,7.886093715203694,3,50,Marketing,Madrid,F,Máster,Grande
27,34879.05239033944,5.0,36.55557228712297,6.412671541739877,1,100,IT,Barcelona,F,Grado,Pequeña
30,37771.78200992159,2.667499281787405,41.02379441200892,6.690448833819403,1,50,Marketing,Valencia,M,Grado,Pequeña
45,13371.751419424128,17.649776416042318,43.82939139740307,5.5394540374398336,4,10,Marketing,Madrid,F,Grado,Pequeña
38,57420.91204792995,4.433900404014446,31.920566062947636,7.38291315497492,5,100,Ventas,Barcelona,F,Máster,Grande
18,43184.816301532344,-4.0,41.49823843918674,4.129514673097749,2,10,Ventas,Sevilla,F,Grado,Mediana
38,59814.59985841763,7.598907405800546,44.662174354773335,8.81783164479356,4,100,RRHH,Valencia,F,Máster,Mediana
31,8534.50221639942,9.0,37.92449855518315,6.530126462823529,6,10,Marketing,Valencia,F,Bachillerato,Pequeña
28,103175.56723393573,3.9913576349635416,43.50350306060292,6.686192000377977,3,500,Marketing,Barcelona,M,Bachillerato,Pequeña
41,33867.29864027737,11.475934985385328,54.07327222236276,3.750872135396553,3,10,RRHH,Valencia,M,Grado,Pequeña
45,63202.01157638909,10.177184043915963,39.47828603506554,8.478545062255407,3,50,Finanzas,Madrid,F,Grado,Grande
44,21591.328104971148,6.75544315474575,41.96653525002662,8.114113452741261,2,50,RRHH,Barcelona,F,Máster,Grande
26,49334.89665512456,4.0,36.309714581693044,7.455841067578888,4,50,Ventas,Madrid,M,Grado,Mediana
31,21445.97408537873,9.0,40.906255813010254,7.300143685333137,2,50,Ventas,Valencia,F,Grado,Pequeña
38,26585.348098656552,16.0,42.301358124911516,8.407924715860077,1,50,Marketing,Valencia,F,Máster,Grande
44,94562.44386797021,8.53259229190203,40.97421170135069,2.500830925738141,2,50,Ventas,Valencia,F,Grado,Mediana
30,33013.06923987234,5.780902246869955,34.90152340145572,6.997376903261218,2,50,RRHH,Madrid,M,Bachillerato,Pequeña
33,40486.19928344646,11.0,41.03180885662725,8.759276145591523,4,50,Marketing,Valencia,F,Máster,Pequeña
23,56108.01018387305,1.0,47.31097969358818,4.55841707511804,4,50,RRHH,Barcelona,M,Grado,Mediana
23,46529.460215469204,1.0,42.24317882257264,4.794507990986218,3,10,RRHH,Sevilla,F,Grado,Mediana
43,39152.104414190515,4.9062633090554515,44.80993594535921,8.086639728876598,4,1000,Marketing,Barcelona,F,Grado,Grande
48,43585.53033624188,12.19633894295008,38.81494014993686,5.611160571858686,4,50,Finanzas,Sevilla,M,Grado,Grande
34,120777.80239857307,7.446251218704237,43.749501197118555,8.01003787434222,1,10,Ventas,Valencia,M,Bachillerato,Pequeña
45,35284.201793462,10.529830547056008,41.39633919108263,5.255155603034298,5,50,IT,Barcelona,F,Máster,Mediana
38,40156.898522480304,16.0,35.24544635156384,7.41537521261529,4,500,IT,Madrid,F,Grado,Pequeña
28,61409.952756099156,6.0,41.59260502399437,6.293581105917939,1,10,IT,Sevilla,F,Bachillerato,Mediana
38,63118.10712012998,12.931957052283291,35.041516682798445,7.6565974745417105,5,100,Ventas,Madrid,M,Máster,Mediana
50,65743.43865757424,8.572046132301654,36.83559862557604,5.421272967721079,4,50,Finanzas,Sevilla,F,Grado,Mediana
34,49979.34559743412,6.799455142251161,40.94664153646187,8.219850422247386,1,10,RRHH,Valencia,M,Máster,Grande
50,20506.507292002003,16.285014465251862,41.48622136690062,5.177929207555126,2,500,Marketing,Barcelona,F,Bachillerato,Mediana
18,82183.98777549647,-4.0,34.05383767461436,7.146005154604602,4,50,Finanzas,Sevilla,F,Bachillerato,Grande
43,20472.285087912926,14.398080919822608,45.26992885591438,6.0101150415574125,2,10,IT,Barcelona,F,Grado,Pequeña
35,42248.22975508182,3.1468528885196476,42.86003139150237,9.039515827580443,6,500,Ventas,Sevilla,F,Grado,Pequeña
32,24905.951625352995,10.0,36.476357821945584,7.916758366505231,4,100,Ventas,Sevilla,F,Máster,Mediana
35,35169.370506085244,9.395135947760634,32.31207601775412,6.492380924934275,6,500,Marketing,Valencia,F,Máster,Grande
18,42803.75901436588,-4.0,39.275477104592845,9.544052372507124,4,100,RRHH,Sevilla,F,Grado,Pequeña
32,42645.566967846724,7.682875444226276,37.7702814306942,5.842308458925691,4,100,Finanzas,Madrid,M,Máster,Pequeña
38,44844.68602177073,12.623675093611626,40.56570228526511,7.4309485643958,2,500,Finanzas,Sevilla,F,Grado,Mediana
49,81377.62479445782,20.741480899660182,38.184416694222165,5.793056781850261,1,10,Finanzas,Sevilla,F,Máster,Mediana
29,45559.16777200499,4.075029241550026,29.96271569627495,5.455969143518614,3,100,RRHH,Sevilla,F,Máster,Grande
26,32142.090552037593,4.0,38.05826530849421,4.489112381495694,2,100,RRHH,Valencia,F,Grado,Mediana
29,58808.61190573122,4.684816315523426,38.471904444658435,9.68327312193754,4,10,RRHH,Barcelona,M,Bachillerato,Grande
44,65823.7006337631,8.53985226466088,43.1683051238703,7.356537333408869,5,50,Marketing,Barcelona,M,Máster,Mediana
38,19657.143584564037,13.908454402076194,36.50900162694475,5.790545385349102,0,10,Ventas,Valencia,F,Grado,Pequeña
29,48957.11720936124,4.362687632165807,48.39337336686283,7.226484987554143,5,100,IT,Madrid,F,Máster,Mediana
40,51564.37835700541,9.281200476988907,30.441797246741217,7.152503193890041,3,50,RRHH,Madrid,M,Grado,Mediana
35,31295.1448636761,13.0,46.55583748901312,9.17332370317991,3,1000,Ventas,Valencia,M,Grado,Grande
44,72247.52914146282,7.630907305245355,38.87840514560948,4.4102333864406935,5,10,RRHH,Barcelona,M,Grado,Pequeña
27,33690.534667343534,1.9975204186989435,44.29792436171778,6.287221589596449,0,100,IT,Madrid,F,Bachillerato,Pequeña
31,38668.7951441088,9.0,40.399007420293664,6.679029564348227,3,10,RRHH,Valencia,M,Grado,Pequeña
31,33305.04239765119,9.0,45.697777680127345,8.538198169748961,1,100,Ventas,Barcelona,M,Bachillerato,Mediana
20,36599.48776467125,-2.0,38.063190177235946,3.7589408927089996,2,100,Marketing,Madrid,F,Grado,Pequeña
37,20991.281347163476,3.564947523603388,34.50689787411094,7.987141156790496,3,100,IT,Madrid,F,Máster,Mediana
37,17676.203141752765,10.783625197350846,47.10252143635532,9.458624370405492,1,500,Ventas,Valencia,F,Grado,Grande
35,80599.8874113706,10.91749446495581,39.43259677058929,4.310078761402294,1,500,Finanzas,Barcelona,M,Máster,Mediana
32,23778.07759778317,7.382560382910629,41.10779236812105,9.210870748678794,4,10,Finanzas,Madrid,M,Grado,Mediana
20,22121.468145058498,-2.0,46.17375957022398,9.674712719814352,5,50,Finanzas,Valencia,M,Máster,Grande
30,12373.40812994015,8.0,34.840223789527826,6.862637369971431,5,100,Marketing,Madrid,M,Máster,Mediana
31,26384.160450981108,5.379892828962918,42.97745448819629,9.296457620667729,2,50,RRHH,Barcelona,F,Grado,Pequeña
26,18740.741134876847,4.0,37.050526217685544,8.763324307560667,2,10,RRHH,Sevilla,M,Máster,Pequeña
33,82537.46414285856,11.0,39.33915322177814,7.99614658701736,3,50,RRHH,Madrid,F,Grado,Mediana
39,60168.7590942088,5.197807964671148,40.36139482692145,8.571683839923205,5,50,Marketing,Barcelona,M,Grado,Pequeña
53,25743.175128574745,3.6863478383914883,32.49889069276532,4.462183537604293,6,50,Finanzas,Madrid,M,Máster,Mediana
36,111995.94034180824,6.701315695395112,36.10581478589783,5.794265350276106,3,500,RRHH,Sevilla,M,Bachillerato,Grande
37,59330.73476169335,7.4672240726567365,46.7553644620657,8.437560678638814,1,50,Marketing,Sevilla,F,Bachillerato,Mediana
34,30871.3641985788,11.475380746690314,44.43095594292398,4.970801491507958,2,10,Marketing,Madrid,M,Grado,Pequeña
18,10407.657815261171,-4.0,39.686802113363825,5.926521720884691,2,10,Ventas,Valencia,F,Máster,Pequeña
34,114173.13305331378,12.0,41.21561729256447,6.172271413935887,2,500,RRHH,Madrid,F,Máster,Grande
35,18128.014200581874,9.706823924982551,38.528787471817715,8.514032028092963,2,1000,Finanzas,Barcelona,F,Bachillerato,Grande
59,15951.380026719506,6.258649162558906,46.78291692913991,8.863095868340189,2,100,IT,Valencia,F,Doctorado,Mediana
33,60553.661388973414,11.0,38.998237111029184,8.19833657760187,3,50,Marketing,Barcelona,M,Máster,Pequeña
38,122992.19821169607,16.0,41.15921046067424,3.1028147852530843,4,500,Ventas,Barcelona,M,Máster,Mediana
34,72557.6291020058,12.0,45.73015072071033,7.307470831118922,3,100,IT,Valencia,F,Grado,Pequeña
23,48144.13293329496,1.0,36.11314257577047,7.164258585691678,2,500,Marketing,Sevilla,F,Máster,Pequeña
46,48892.396414789015,7.770735975941283,47.79394592248447,9.69171746999846,2,100,Ventas,Barcelona,M,Máster,Pequeña
42,55642.78948967107,10.45659226548162,32.347692951283115,7.831504758188931,5,50,RRHH,Madrid,M,Grado,Mediana
42,53075.159666926396,12.20774346305379,48.14821065556399,8.007416452107224,3,50,Ventas,Sevilla,F,Doctorado,Pequeña
25,41797.66317244547,3.0,38.13662208024013,7.156912995028678,2,10,Marketing,Sevilla,M,Grado,Pequeña
49,38257.716289798795,8.015312012975127,38.786506260873594,8.913075678703526,1,10,RRHH,Valencia,M,Grado,Pequeña
20,35196.5531899027,-2.0,30.549949144085286,8.078508079889152,5,100,Finanzas,Madrid,M,Máster,Mediana
40,24909.8280545964,12.516217660854846,37.72602641311153,7.199942536168762,2,500,Ventas,Madrid,F,Doctorado,Mediana
56,31560.526633704525,11.275855200380384,34.800967344865576,8.260945711489482,2,100,IT,Sevilla,F,Grado,Pequeña
25,15576.545883729268,3.0,36.961768273132634,7.5993400259184,5,50,RRHH,Barcelona,F,Bachillerato,Grande
29,34573.064893813076,5.34135798055036,39.313445171055605,9.468589754544118,2,10,RRHH,Barcelona,F,Máster,Mediana
35,22152.473649685242,11.363880902177996,44.78895807236453,8.27199538295887,3,10,Finanzas,Madrid,F,Máster,Pequeña
29,20914.654016805,7.0,41.03801675700313,6.704523956099853,0,50,Ventas,Sevilla,M,Grado,Pequeña
19,39733.38620379198,-3.0,41.53838326700557,8.288165979333161,0,50,IT,Sevilla,M,Grado,Mediana
35,72838.58759734599,12.531026165110333,34.52240305577219,6.238828766342115,1,100,Finanzas,Sevilla,M,Máster,Pequeña
24,57478.04357551088,2.0,35.59622955198635,6.856098859213948,4,10,Ventas,Valencia,F,Grado,Pequeña
39,16560.070715477086,13.503514791685399,48.993625091756556,8.752597306668106,6,1000,IT,Madrid,M,Doctorado,Mediana
25,22140.99024365615,3.0,36.323994826183764,8.109588427406656,3,50,IT,Madrid,F,Grado,Mediana
50,58127.00250494022,7.874210248417661,48.28104126028648,7.056574097353917,1,500,Marketing,Barcelona,F,Grado,Mediana
27,22220.183094381468,5.0,38.78469400559567,5.252300158741373,0,50,IT,Barcelona,F,Grado,Mediana
31,32457.38979941454,9.0,40.01143968071752,7.777182117850757,0,10,Ventas,Madrid,F,Grado,Grande
43,47811.7186996142,12.689893685238097,45.35182580114965,6.864373317707485,0,100,Finanzas,Madrid,F,Máster,Pequeña
22,22377.86931734871,0.0,46.35946210969328,6.567883197567269,1,100,Finanzas,Barcelona,F,Doctorado,Pequeña
37,38280.18785979409,2.7787104504829996,39.44593719860456,9.275617996320365,3,50,Marketing,Madrid,M,Máster,Grande
48,18638.549199039306,14.921356882217236,38.058784732392304,4.770859105742661,5,50,Ventas,Barcelona,F,Máster,Mediana
18,26884.795373145553,-4.0,39.72039775738894,6.202721598365964,7,10,IT,Madrid,M,Bachillerato,Mediana
36,42611.99081030474,6.079948679650116,41.68978764116059,9.174558359147428,0,100,Marketing,Valencia,F,Máster,Pequeña
37,16374.870191479922,14.70259081610444,44.45651843434878,6.150913974635859,4,500,RRHH,Valencia,M,Grado,Pequeña
42,45262.645514930475,12.260955630988574,40.021149294970755,5.489793526428729,2,10,Ventas,Sevilla,F,Bachillerato,Pequeña
22,35960.66929199006,0.0,43.09443149011577,6.346594861716802,2,10,Marketing,Madrid,F,Bachillerato,Mediana
21,47870.03326114161,-1.0,48.1917986613547,8.857062375584704,4,500,Finanzas,Barcelona,M,Máster,Pequeña
40,40617.61290983798,7.827057434040559,41.906548061323925,7.633403535508828,0,10,Marketing,Madrid,F,Doctorado,Mediana
37,71830.91367752625,9.966650241743771,41.55826428002389,6.3576417880396665,3,100,RRHH,Madrid,F,Máster,Mediana
37,38661.99098565868,5.554943256253239,32.40544587454966,7.498505140883278,1,50,Ventas,Sevilla,M,Grado,Pequeña
38,29298.664959280082,4.62407405063343,26.84634931585468,8.954207465225513,3,50,Marketing,Barcelona,M,Grado,Pequeña
28,38605.45055282949,6.0,41.94187864615084,6.29329453621216,6,50,IT,Madrid,F,Grado,Pequeña
37,47650.52917695645,15.0,39.52587884359564,5.92900481589481,3,10,Ventas,Barcelona,M,Bachillerato,Pequeña
37,37213.617502156245,7.2045208221827695,37.426086625426294,8.077964763471906,5,10,Marketing,Madrid,M,Grado,Pequeña
27,37060.08693406357,3.729422756475874,41.217651020931726,6.782322753388702,2,100,Marketing,Sevilla,F,Máster,Pequeña
53,25565.630148778277,8.675849127239,39.69798135401546,5.642012831228101,1,100,Ventas,Barcelona,M,Doctorado,Mediana
39,26070.23552518611,7.159222300573375,45.63890125316949,6.644793264161643,4,100,Finanzas,Madrid,F,Grado,Mediana
23,18010.268818008204,1.0,40.43055434129489,5.481154787472411,7,100,IT,Valencia,M,Grado,Pequeña
41,87097.92780702557,17.094543933066863,36.265383574649164,8.028569321780248,2,10,Ventas,Barcelona,F,Máster,Mediana
25,19498.023536345223,3.0,44.95083119479644,7.7108277611073035,4,10,IT,Sevilla,F,Máster,Grande
42,25682.045321343427,10.503642236739815,38.91434462526899,9.383679973733711,4,500,IT,Valencia,F,Máster,Mediana
46,25356.651652790082,10.898853416303133,42.63268341836154,8.594586802174444,0,50,Ventas,Barcelona,M,Grado,Pequeña
26,56809.68998419064,4.0,37.612946469036,5.883455393444762,5,50,Marketing,Barcelona,F,Grado,Mediana
44,31336.071618770522,8.372858749378208,36.750865572512815,5.152390994503011,7,10,Finanzas,Barcelona,M,Doctorado,Mediana
39,67769.73828677398,5.882589837829455,40.42084115092848,5.350682113667775,1,10,IT,Barcelona,F,Grado,Grande
43,25932.56225291026,3.4133934761231863,40.064143217718424,6.668174881968011,2,50,IT,Madrid,F,Máster,Grande
53,41751.768184715365,5.865843441902315,42.399135176834164,8.631051580286453,3,500,Marketing,Madrid,F,Grado,Pequeña
32,23916.562113186574,8.977461447079312,38.65677123345129,9.59150527600767,1,500,Ventas,Barcelona,M,Grado,Mediana
27,106146.40123157945,4.366671473337457,30.81820108114801,7.278006242320481,2,500,Finanzas,Sevilla,F,Máster,Grande
26,20054.33844220897,4.0,37.836130582058054,5.501853844461739,2,500,IT,Madrid,F,Grado,Grande
26,42400.28467003848,4.0,43.969092335719075,8.1739372416179,1,500,IT,Barcelona,M,Máster,Mediana
34,49855.716381770275,7.16504257631567,38.51311960378447,8.605942036942265,7,50,Ventas,Barcelona,F,Grado,Pequeña
38,44662.948699329674,8.208159368694776,38.76808298742726,9.22417595786407,0,10,Marketing,Sevilla,F,Doctorado,Pequeña
37,33102.23794003913,4.769180038997377,44.93188252952969,6.954020140841422,8,100,RRHH,Sevilla,M,Grado,Mediana
43,34033.12690983473,13.396745099849987,36.440133863705384,3.1216648051395417,3,10,Marketing,Sevilla,M,Bachillerato,Mediana
35,37119.79766275063,13.0,32.285983908785504,2.837513928743877,3,10,IT,Valencia,M,Grado,Grande
49,33742.01241772756,5.199360301567008,39.19684440237253,5.541108515760089,0,10,IT,Barcelona,F,Máster,Grande
32,58802.49461414734,5.274953095671224,37.57913024375632,6.964886425619813,3,50,Finanzas,Sevilla,M,Máster,Pequeña
62,109673.330184653,5.903991611694346,35.16876840123373,9.01896436300885,1,50,Marketing,Barcelona,F,Grado,Mediana
41,27481.109147054318,11.92448488186212,39.123107720506546,6.2471326063412205,3,10,RRHH,Madrid,F,Grado,Pequeña
26,18308.093525502172,4.0,42.45752823623392,8.933109989515975,1,50,Finanzas,Barcelona,M,Máster,Mediana
24,34747.36343791844,2.0,39.95355719216092,8.145143594963011,1,500,RRHH,Barcelona,M,Máster,Mediana
39,131907.29824496375,15.353361149771473,41.534905363431186,6.318061546353155,5,50,Finanzas,Valencia,F,Máster,Pequeña
32,24298.325464181413,4.157975137757513,49.06703849257711,8.270735688006766,4,500,Marketing,Madrid,M,Máster,Pequeña
42,82417.9393468453,11.736136468143238,38.28560569221218,7.732231850870134,9,10,IT,Madrid,M,Grado,Pequeña
39,84023.3829077949,15.082613775432666,41.39174317322335,8.8117825023526,2,10,RRHH,Valencia,F,Bachillerato,Pequeña
34,27534.798374308,7.963081284622689,37.453933187004324,7.518698360449738,2,50,Marketing,Sevilla,M,Bachillerato,Grande
26,48266.428680103,4.0,35.76820140056513,8.086347977171185,2,50,RRHH,Sevilla,M,Doctorado,Pequeña
19,81977.35352385463,-3.0,37.07546173291115,4.299921968369333,2,100,Marketing,Barcelona,M,Bachillerato,Pequeña
30,30044.53709238612,8.0,37.606207142391554,8.747790852827904,4,100,Finanzas,Valencia,F,Grado,Pequeña
43,32800.85365002029,13.376495210657582,41.79737898773563,7.563568106719536,1,100,Marketing,Sevilla,M,Máster,Grande
37,27150.738969623097,15.0,51.74537893350379,8.348676585730097,2,500,Finanzas,Madrid,M,Grado,Pequeña
22,21864.544574428215,0.0,36.419782818620796,5.875724363469984,2,50,IT,Valencia,F,Máster,Pequeña
36,26248.423982802655,7.324526539615829,37.916873471922685,8.880105434170364,3,10,Finanzas,Sevilla,F,Máster,Mediana
38,19693.223418089943,10.51863913954168,39.684384934443756,4.506194737561052,1,50,Ventas,Madrid,F,Doctorado,Pequeña
26,36939.685286444175,4.0,41.97899424354873,6.667913855124249,1,10,IT,Valencia,F,Grado,Pequeña
36,24711.237643402776,6.656461989724948,41.317754059773925,8.964576049765773,5,10,Marketing,Barcelona,M,Grado,Mediana
35,40818.59253154259,9.046088167251659,46.420478969740586,8.673906642410062,4,10,Marketing,Barcelona,F,Máster,Pequeña
23,16681.44289884247,1.0,27.86803964732396,5.453972832512601,7,50,Ventas,Madrid,F,Grado,Grande
38,42849.10838996014,7.044832581293192,28.06535064902164,6.6095530550932295,1,10,Marketing,Sevilla,M,Grado,Mediana
40,55092.258203985824,10.406359170075302,37.52060913994925,7.9192688299763345,2,10,IT,Sevilla,F,Máster,Mediana
45,13401.637483230888,11.662954671300099,45.486500937718546,9.400767392962003,5,100,IT,Valencia,F,Grado,Pequeña
45,43784.19930960142,11.524746059552982,32.17175984197202,8.87543001700852,4,100,Finanzas,Madrid,M,Máster,Grande
21,67092.96649553417,-1.0,24.961838301531216,8.207081059377742,5,100,RRHH,Sevilla,F,Máster,Mediana
25,19834.52709373547,3.0,42.85589703109604,7.271483201553214,4,100,Marketing,Barcelona,F,Bachillerato,Pequeña
40,83808.20500395607,6.408715815740407,41.218286118513575,4.838588295403658,3,10,Ventas,Madrid,M,Bachillerato,Pequeña
40,44779.66927988708,9.498204908023919,34.54895796600285,4.4036591460768735,4,10,IT,Barcelona,M,Grado,Mediana
40,25527.053035030178,14.779007586522987,35.07230199639535,5.968679856546172,6,10,IT,Madrid,M,Grado,Mediana
70,35316.84982441854,23.724625964640182,35.15128140182663,6.476796160376396,4,500,IT,Valencia,M,Máster,Grande
40,48009.94501590083,10.708478476338199,40.5526765873697,6.206916328992986,6,100,RRHH,Sevilla,M,Bachillerato,Mediana
46,37722.14855311549,12.810823336911197,36.868423619084965,5.302308769721726,2,10,RRHH,Sevilla,M,Grado,Mediana
44,47542.43673983723,4.662225100705133,42.4703195948776,3.7849350920365668,4,50,Marketing,Sevilla,M,Máster,Pequeña
41,22917.663027066712,12.65858276018316,25.726866685478043,5.421428821963366,0,1000,Ventas,Barcelona,M,Grado,Mediana
31,39524.67391773811,9.0,35.715740674361,9.901003480838929,3,50,RRHH,Sevilla,M,Grado,Grande
42,17910.5060809352,6.397388533597833,34.369730195444745,8.239765433857025,1,500,Finanzas,Madrid,M,Doctorado,Mediana
27,34351.01923716274,5.0,38.718296608137535,4.147005468161893,4,10,RRHH,Barcelona,M,Grado,Pequeña
32,23110.58875784057,10.0,37.30976120754931,9.197147211996718,2,10,IT,Valencia,M,Máster,Pequeña
30,25140.491405343095,8.0,43.989218899478836,5.4957662126739475,3,100,Ventas,Barcelona,F,Máster,Pequeña
35,67376.16420922382,3.253586456114534,30.703316141699712,4.733585514188164,4,100,Marketing,Valencia,M,Máster,Mediana
58,62671.060202271896,7.360800885310423,40.22745738165376,2.7582997855406073,5,100,RRHH,Barcelona,M,Máster,Grande
18,49245.29260726198,-4.0,42.791682116058524,9.088526805715118,2,50,IT,Sevilla,M,Grado,Pequeña
41,21032.909680046265,8.179211540615462,49.28323718280977,8.58298066150418,4,50,Finanzas,Valencia,M,Máster,Pequeña
18,31001.652086265636,-4.0,37.591170144532626,7.3941717147013,5,100,Finanzas,Sevilla,M,Máster,Mediana
30,66605.92722824837,8.0,41.62229302176259,8.97910268936181,4,10,Marketing,Barcelona,F,Grado,Grande
45,38982.123834759164,10.880961094614937,30.980686037188175,5.49765435506955,5,50,Marketing,Valencia,F,Grado,Mediana
35,115805.20253258791,7.973847366294436,28.04021897843488,6.747891464155392,1,500,RRHH,Madrid,F,Máster,Pequeña
24,44207.90594908257,2.0,44.2238718789085,7.790099572511235,3,50,Marketing,Madrid,F,Grado,Pequeña
27,39975.600450710415,5.0,39.972198531759645,7.866377415736539,5,50,IT,Barcelona,M,Máster,Mediana
41,31114.890192105122,15.809902325713619,45.892563448992114,6.371005102330925,1,100,IT,Valencia,F,Grado,Grande
27,38823.090026811944,5.0,33.13298555515125,9.199867958955544,0,1000,IT,Madrid,F,Grado,Pequeña
37,33649.89052787322,11.903073582465478,42.599510697643765,5.953354209373742,1,50,RRHH,Sevilla,M,Bachillerato,Mediana
35,51743.51236515805,8.801733790434755,49.34408920271927,9.409577477027204,2,50,RRHH,Sevilla,F,Grado,Mediana
28,58591.86587855711,6.0,42.09852804178633,8.811210042934698,3,500,Marketing,Barcelona,F,Grado,Mediana
56,24514.137471095706,8.375274588688168,41.38290752795525,8.575903959937323,1,500,RRHH,Sevilla,M,Grado,Pequeña
