edad,antiguedad,salario,horas_extra,satisfaccion,proyectos_completados,evaluacion_desempeno,departamento,nivel,educacion,abandono
23.0,5.0,42902.27653815596,2.41928429323406,,2.0,3.812884667804139,Finanzas,Mid,Maestría,1
59.0,15.0,79415.36141388808,0.4815435452086245,,4.0,1.2749038775104151,RRHH,Mid,Universitario,0
47.0,8.0,58583.34321375719,,,5.0,4.555651622107156,IT,Mid,Universitario,0
42.0,0.0,50213.58300055382,,3.886624944230528,5.0,3.420385724348322,IT,Junior,Universitario,1
,8.0,,2.6890488886787427,1.7795073493455238,1.0,,Ventas,Junior,Maestría,1
40.0,17.0,65039.22717261726,,2.6195571195170104,2.0,4.869517404948929,IT,Mid,Maestría,0
39.0,6.0,55795.13344202691,2.044769481897603,,1.0,1.0814034475998016,IT,Mid,Bachiller,0
23.0,11.0,54292.8158564273,3.881081899728766,3.251256696110304,2.0,4.651401148510788,IT,Senior,Universitario,0
63.0,4.0,62147.006079975734,1.41888935556019,4.887575193474802,6.0,3.967155287587935,Ventas,Senior,Bachiller,0
49.0,7.0,65425.609268829394,6.3231517590148645,9.549781288316554,2.0,2.8816370442833583,IT,Junior,Universitario,0
44.0,18.0,79827.79904945605,0.4730443089659645,1.8276114000404426,2.0,1.2292346589493204,IT,Mid,Bachiller,0
25.0,12.0,57601.81533822101,,3.483875278993061,0.0,3.824613520364399,Marketing,Junior,Universitario,0
25.0,5.0,56756.24689032315,0.900729386211863,,4.0,,IT,Junior,Universitario,0
33.0,4.0,58860.553695045484,1.9791985119122204,9.026746879417484,5.0,1.0536666438142754,Finanzas,Junior,Maestría,0
43.0,6.0,67159.10733249979,2.4294833950423027,,5.0,,IT,Junior,Maestría,0
47.0,3.0,67286.36500412402,2.3560922973983662,5.25562436845172,3.0,1.7671394131518863,Finanzas,Junior,Universitario,0
61.0,16.0,81507.94897126546,2.396533301745329,2.6825796678961993,4.0,1.7700814420107318,RRHH,Junior,Maestría,0
63.0,4.0,67240.25248046617,5.394866243482925,4.230149660500462,10.0,2.8357482392390163,Marketing,Mid,Universitario,0
56.0,9.0,,3.091081292777745,9.457986661946945,4.0,,Ventas,Senior,Universitario,0
25.0,9.0,59363.38208322564,2.7071695174682437,3.1597379282974307,4.0,2.550654505473026,Finanzas,Mid,Maestría,0
33.0,16.0,70249.5565298953,,8.759093052329508,1.0,4.080452607058074,Finanzas,Junior,Universitario,1
25.0,2.0,41057.767237393695,12.605410768829696,8.311302369794898,3.0,3.9336076381699994,IT,Senior,Bachiller,0
52.0,7.0,,4.658572389240373,7.8300672131618425,4.0,1.3152794856482055,Marketing,Junior,Maestría,0
28.0,16.0,74101.96770327486,4.121904545861495,5.066906885972932,1.0,1.7185807422826813,IT,Junior,Maestría,1
31.0,19.0,68840.64602405032,5.044687794163618,1.4836536338104376,2.0,4.59896737121818,IT,Mid,Universitario,0
45.0,6.0,55573.52810382668,8.70781090628053,1.2615527474988384,1.0,4.426883252278236,IT,Mid,Doctorado,1
36.0,1.0,53004.94350443503,,,5.0,1.8043850442978955,Finanzas,Senior,Universitario,0
60.0,5.0,65412.99135737958,7.744735836467732,1.1069618710882687,1.0,3.813749673646813,IT,Mid,Maestría,0
41.0,19.0,75928.72994033156,3.035732467882344,6.801006229978361,6.0,1.9925305558562822,IT,Junior,Universitario,0
28.0,15.0,67677.84132620765,16.085031453301625,1.7156211511188122,3.0,4.926136153687288,RRHH,Mid,Doctorado,0
34.0,9.0,55437.38018083611,0.6850583271676819,,1.0,3.185130503209027,Ventas,Mid,Universitario,0
49.0,16.0,76375.0208745404,0.4450438970527366,9.735924293464814,2.0,1.8849208986990127,Ventas,Mid,Bachiller,0
60.0,8.0,72550.7247312641,0.6103773876572572,9.391892526287101,0.0,3.021506416401091,Ventas,Junior,Universitario,0
39.0,10.0,68369.18159002849,1.7740690395920402,7.549636811221703,5.0,4.122044091686306,Ventas,Mid,Universitario,0
32.0,15.0,70480.22753701934,,,2.0,2.0220343890212673,Ventas,Mid,Bachiller,0
57.0,13.0,78793.53095170124,3.526005854453278,3.4274370114291766,3.0,3.2950615671799843,IT,Junior,Universitario,0
57.0,11.0,83189.83860216296,1.852140252541744,1.0957160007589684,2.0,4.157532994890693,IT,Junior,Bachiller,1
23.0,2.0,,0.03570772713966778,8.683928994153181,1.0,1.325796584289073,Ventas,Junior,Maestría,0
38.0,10.0,56254.43763648414,6.02045142502861,9.368869136590295,1.0,3.039672157636104,Ventas,Senior,Universitario,0
,14.0,,,6.392894480138987,7.0,2.5770761721314566,IT,Mid,Universitario,0
62.0,13.0,81619.12742524833,0.2784679285579266,,2.0,1.7058335666270037,IT,Mid,Bachiller,0
44.0,16.0,69888.45023055431,0.7608250863864218,9.280536179945061,3.0,3.1134076593387023,IT,Mid,Universitario,0
37.0,3.0,51064.67120091422,1.6007652323257862,9.836911616024956,3.0,1.9451905477708737,IT,Mid,Bachiller,0
,2.0,68161.3299698339,3.765450128702334,4.0670110498508265,,4.115372545403066,Ventas,Mid,Bachiller,0
47.0,3.0,,2.374560510124191,7.900968892110381,1.0,4.598496394939927,IT,Junior,Maestría,0
22.0,6.0,46813.189275648365,4.899258588231314,,1.0,2.0960982749301866,RRHH,Mid,Maestría,1
57.0,18.0,80899.83148701671,2.504486533465748,7.857791629612421,3.0,1.8953790739281557,Finanzas,Junior,Universitario,0
51.0,14.0,79157.51241484749,,8.862793435507523,2.0,1.7522275303147712,Marketing,Mid,Doctorado,0
23.0,8.0,58064.80064851794,7.423492482982589,3.5445918767905242,0.0,4.018772021049065,IT,Mid,Maestría,0
41.0,4.0,49828.74710032447,24.321238801264712,2.969409290156781,0.0,1.4276088773861928,IT,Mid,Universitario,0
26.0,12.0,,1.3496046945917421,4.0173534164834575,6.0,4.698987012931017,IT,Senior,Universitario,0
52.0,,79351.59432762198,6.8404350625363595,6.035824057043579,,1.079510618202887,Ventas,Senior,Bachiller,0
29.0,0.0,40931.87265829566,1.4311132709382914,4.1218965997730574,3.0,2.557468326785883,Marketing,Senior,Maestría,0
51.0,19.0,85226.90675459965,2.9200144932427397,5.1784411615627866,4.0,4.5358882808901075,IT,Mid,Universitario,0
60.0,,,0.5588369683138436,6.992435167489637,,2.925258072871748,Marketing,Junior,Universitario,0
23.0,15.0,,1.4946311468349616,3.058584383193792,4.0,1.9664570234507832,Finanzas,Junior,Universitario,0
34.0,4.0,56023.32804890683,0.5526809843928377,7.4497579978926245,3.0,3.2524439316839873,RRHH,Junior,Universitario,0
25.0,11.0,52428.78186623622,2.996681441238186,9.196719218867297,2.0,2.796797321444459,IT,Mid,Maestría,0
29.0,17.0,61675.157948153435,17.026994980082822,,6.0,1.9796026437573682,IT,Senior,Maestría,1
60.0,12.0,81671.59745163373,5.785536971663417,6.131085117407275,4.0,3.618374611341957,IT,Senior,Bachiller,0
46.0,18.0,,4.686647296161345,1.39696631131395,1.0,,Ventas,Junior,Maestría,0
28.0,17.0,,0.7406867615698208,5.119391685548108,1.0,1.9330771832729905,Marketing,Junior,Maestría,1
35.0,4.0,57408.325708299795,0.2690308944035723,9.321058440649924,3.0,4.25614376626965,RRHH,Mid,Bachiller,0
50.0,1.0,54208.425124100744,28.604728193518678,2.7045638293493983,3.0,4.040617956105576,IT,Junior,Universitario,0
42.0,12.0,70620.48231233793,3.9244586189449153,9.878091458115486,3.0,1.9293473306344504,IT,Senior,Bachiller,0
58.0,8.0,83314.21709055778,3.2880424586520647,,2.0,2.0750537420383472,Ventas,Junior,Universitario,0
54.0,1.0,,11.614131634292214,9.402119763339797,3.0,4.761010207371879,Ventas,Junior,Universitario,0
62.0,17.0,,0.26513312087292334,2.730904383587045,5.0,3.9062895578869408,IT,Senior,Universitario,0
46.0,2.0,48030.04885798142,1.0330752483034533,9.051491701751065,,4.184774803728438,RRHH,Senior,Maestría,0
35.0,11.0,65726.0975429219,7.238153042099283,7.376963332459919,,2.521803022676856,RRHH,Senior,Maestría,0
30.0,15.0,67671.69873611568,1.7530881078600111,7.0063733843641565,,1.6276385225576235,Finanzas,Junior,Bachiller,0
36.0,,58218.863414303996,1.081667412282862,5.175209111775986,2.0,3.7137216459743034,IT,Mid,Universitario,0
28.0,11.0,64363.354258846535,,1.7245691844310551,3.0,3.4378478006362143,IT,Mid,Universitario,0
23.0,13.0,64743.83359324988,14.47646836745687,4.524842105061602,2.0,3.7008726242867582,Ventas,Mid,Universitario,0
52.0,19.0,,2.2778259967329726,2.2343986993253933,6.0,1.1626571553744776,Ventas,Junior,Universitario,0
28.0,3.0,50876.200887016064,2.415762637999804,,4.0,1.5964893936340454,Ventas,Mid,Maestría,0
62.0,19.0,95215.7877364874,5.675650528800887,1.6142220048469804,2.0,3.239303061047248,Finanzas,Senior,Universitario,0
32.0,19.0,,1.7140542590379049,5.453869880665707,7.0,2.056876393202803,Ventas,Junior,Maestría,0
34.0,6.0,52620.12157432836,4.659441572685676,3.2652640750630333,3.0,3.032003461101955,Ventas,Junior,Universitario,0
34.0,14.0,,3.8275490891358666,4.491962870010835,4.0,4.490263978671072,IT,Junior,Universitario,0
47.0,17.0,82368.52515438273,3.5058175220715753,,2.0,2.4229056128263,RRHH,Mid,Universitario,1
64.0,6.0,68717.15415916037,,4.141197062957596,3.0,2.670796347273616,IT,Junior,Doctorado,0
29.0,2.0,47158.87962135348,3.9121278489502185,7.710660580320311,3.0,1.3416301828473363,IT,Mid,Universitario,0
35.0,7.0,52028.49174940213,2.0779712563633943,2.541751944056401,6.0,,Ventas,Senior,Universitario,1
23.0,7.0,47846.39520290353,3.8787371438223017,1.908664151261672,3.0,4.856876123116692,RRHH,Mid,Doctorado,0
63.0,0.0,62620.39557072508,9.924159331441922,8.607466558319311,5.0,2.399674152887496,Ventas,Senior,Maestría,1
36.0,10.0,55984.841467705075,7.412297754239169,4.612200557525868,4.0,1.142318448268063,Ventas,Senior,Universitario,0
45.0,,59013.82471081925,10.292965078355953,,1.0,1.0259994752432227,RRHH,Mid,Universitario,0
55.0,12.0,72685.25723754754,1.1185012761801243,1.5961170734802188,2.0,2.1444236759212028,Finanzas,Junior,Universitario,0
25.0,1.0,43189.39741951209,,,3.0,3.6032592454420334,IT,Mid,Maestría,1
39.0,1.0,43137.59269269268,0.462750848165315,7.545581516101147,5.0,4.789448345814118,Finanzas,Mid,Universitario,0
46.0,15.0,75548.74196926942,1.879389042552344,,1.0,1.7102555386101104,Finanzas,Junior,Universitario,0
45.0,0.0,54903.533655352905,8.517977426630429,1.720408817624147,1.0,2.293111851308156,Ventas,Senior,Universitario,0
27.0,6.0,54441.50565243467,4.318518691274896,8.562726585892701,5.0,1.7508744398017213,Marketing,Senior,Universitario,0
55.0,7.0,58093.57909374908,4.998200696242719,9.529998153421191,3.0,,IT,Mid,Doctorado,0
59.0,6.0,75640.69004980025,12.824738487455235,1.8881061238784902,,4.690708620301633,Ventas,Mid,Universitario,0
24.0,14.0,70397.35751493872,2.0308806215727397,9.051432135296476,3.0,2.8059208065692083,IT,Mid,Doctorado,0
40.0,8.0,60490.93884540561,4.393740743487612,,0.0,4.3064948027364,Finanzas,Mid,Universitario,0
,11.0,83836.13789775633,2.1255778310718094,,3.0,,Marketing,Junior,Maestría,0
40.0,18.0,76427.9999616481,,8.500726444034468,2.0,2.2153454617534174,Marketing,Senior,Universitario,1
49.0,16.0,76527.00462429415,2.679044838841334,3.7332865878447623,3.0,2.794716955512593,IT,Mid,Doctorado,0
31.0,5.0,47801.33678378487,3.493508687444172,9.631449457793515,6.0,4.403678169707312,IT,Junior,Universitario,0
39.0,8.0,,,4.60041240301528,1.0,,Ventas,Junior,Universitario,1
25.0,6.0,50794.24062079138,7.745268622760286,9.47798605947689,3.0,2.6407910510350883,Finanzas,Junior,Universitario,0
33.0,15.0,67479.7116148595,0.13314191308107262,3.259075884139522,3.0,2.0667906405177416,Marketing,Mid,Bachiller,0
48.0,2.0,58246.68329377271,0.4041286799848989,5.342794760099257,2.0,1.4594204230375527,Ventas,Mid,Bachiller,0
50.0,4.0,62252.14587731101,0.5099670310898988,7.5178179795235005,3.0,2.9942356748293606,IT,Junior,Maestría,0
,16.0,,4.3187478169093945,6.376187546755722,2.0,,Finanzas,Senior,Universitario,0
32.0,16.0,74598.5611934702,1.763782188378831,7.006882853603061,6.0,3.432485705138522,Finanzas,Mid,Universitario,0
25.0,10.0,61377.33101715172,0.6194582478544227,1.838638075857687,5.0,1.282603367455617,Marketing,Junior,Universitario,0
45.0,9.0,65843.77394470583,4.488441212432822,1.5502434174991933,4.0,2.330282365613281,IT,Mid,Universitario,1
,0.0,,2.1233246091811067,6.652818434901506,2.0,4.824329053947745,IT,Junior,Maestría,0
49.0,9.0,66604.31250882927,7.621842431059367,5.588084850833667,3.0,1.0642611267940323,IT,Mid,Maestría,0
25.0,,62715.706214812526,5.92897502977142,4.202806586414934,4.0,3.6028933312475315,IT,Senior,Universitario,0
57.0,5.0,61238.870855127156,4.254563849339721,9.757118547977951,1.0,3.7389741648822437,Ventas,Senior,Bachiller,0
36.0,19.0,71240.9665452042,3.8457030839702218,,4.0,2.046360265189119,IT,Mid,Universitario,0
43.0,12.0,74654.04316411418,4.315684134381785,,4.0,2.2435364496166885,IT,Mid,Universitario,0
45.0,10.0,76647.50688231479,0.5826667762603182,4.669368578905582,0.0,4.292536328129489,Marketing,Mid,Maestría,0
45.0,,79253.02644145711,1.998894929972023,4.634270807688864,2.0,1.4096491701339113,RRHH,Mid,Universitario,1
58.0,17.0,82327.0225527307,0.21653707433852032,4.399013053745793,2.0,4.343489003858746,IT,Mid,Maestría,0
26.0,8.0,55342.11799034358,0.759372497741268,5.18771619561575,3.0,1.5733255210973374,Marketing,Junior,Maestría,0
27.0,19.0,67758.91685686739,0.6488985459552267,6.3258693424072625,1.0,4.436097625628794,Ventas,Mid,Maestría,0
31.0,7.0,54704.72177893002,2.4768908060534156,1.3126750072948468,2.0,,RRHH,Junior,Universitario,0
24.0,9.0,59023.26729982362,4.64223260807115,7.7523388460603515,5.0,2.4461826648749803,Ventas,Mid,Universitario,0
59.0,1.0,55322.894010161326,0.7193662863162689,8.154303502278097,5.0,4.689632830029638,RRHH,Mid,Universitario,0
55.0,4.0,56398.82397765583,8.183087811493126,1.0681785185669888,2.0,3.7724925647778718,Finanzas,Mid,Universitario,0
27.0,9.0,59805.81599124409,,3.8953286194216994,4.0,4.976807648004829,IT,Junior,Universitario,1
31.0,19.0,69762.93747936656,12.93258783465949,9.61294182289873,1.0,4.958723409174013,Ventas,Junior,Universitario,0
37.0,4.0,51528.61041591851,3.092355596341962,2.6226342726349405,3.0,3.6427691952745973,Ventas,Junior,Maestría,1
50.0,4.0,55639.48956424239,10.496239355015417,5.9450865422990615,4.0,3.3375921303234852,Marketing,Mid,Maestría,0
24.0,4.0,46538.282890868635,,1.4750343514694322,4.0,4.860187115303701,Ventas,Junior,Bachiller,0
32.0,0.0,,2.8080033067827297,,2.0,2.1232406646137614,Ventas,Mid,Universitario,0
58.0,15.0,83465.64677601604,23.435065270172135,8.102930294115904,6.0,3.2738454232000755,Finanzas,Mid,Bachiller,1
25.0,16.0,64593.305169283616,0.37695009090608955,9.496802022711513,4.0,4.523710661226527,IT,Senior,Universitario,0
25.0,10.0,54904.82893441636,1.1975632310845792,1.4205631166964743,3.0,3.445331983288642,Ventas,Junior,Doctorado,0
45.0,15.0,80691.25193212446,4.060068476253412,5.000136616009155,4.0,1.889209921029277,IT,Junior,Bachiller,0
49.0,12.0,,0.02855420245789756,7.614192669147895,2.0,3.3175485202182378,Ventas,Junior,Universitario,0
56.0,8.0,,2.03978946006181,9.867590036897491,5.0,1.1327847771899595,IT,Mid,Doctorado,0
59.0,4.0,69690.56690249484,5.196941437315048,,1.0,4.02994964067115,IT,Junior,Universitario,0
45.0,16.0,79717.32528061491,18.584789438488084,6.863451977317236,4.0,4.103503008131183,RRHH,Mid,Bachiller,0
43.0,15.0,,,3.4209568285336003,8.0,2.4446467116679393,Ventas,Mid,Universitario,0
47.0,17.0,80735.5623118692,12.831768179041772,2.653666716730377,1.0,4.773747652844721,IT,Junior,Maestría,1
39.0,13.0,73674.34284565023,0.19194916378995047,7.324036440527128,4.0,1.7965992984515289,Marketing,Junior,Universitario,1
24.0,15.0,62830.36165811521,0.3696915194424461,1.1563585854397234,2.0,3.05068332050267,Marketing,Junior,Doctorado,0
32.0,6.0,61513.72377603677,8.118418535593861,9.148375869567486,3.0,1.2298016739960782,RRHH,Senior,Universitario,0
30.0,2.0,48709.227474957646,4.223362005296392,2.3022776415021684,2.0,4.959468130504929,IT,Junior,Universitario,0
54.0,12.0,82376.29710780764,2.559967931389422,7.186423312090917,1.0,3.862455874622534,RRHH,Senior,Universitario,0
47.0,6.0,66888.30057410662,5.110732600214325,4.298327406199219,2.0,3.199687394172187,IT,Junior,Maestría,0
57.0,18.0,89801.22619070584,0.8867094443065776,,6.0,1.7856160993339119,IT,Mid,Bachiller,1
25.0,15.0,,1.2795950568283447,1.7707606185155822,4.0,4.394291413089139,Finanzas,Senior,Universitario,0
23.0,4.0,50207.46194862879,19.427771818162004,1.8101975738009384,3.0,3.3314603919473473,Ventas,Junior,Universitario,1
29.0,7.0,,,9.12032595762433,7.0,4.4648037628828625,IT,Mid,Universitario,0
28.0,14.0,,19.198369852995377,2.3795590893165226,2.0,4.043870198140452,IT,Junior,Universitario,0
57.0,,66142.2835061802,,9.411644309796484,8.0,4.2210840589677705,Marketing,Mid,Bachiller,0
55.0,17.0,85530.93831670546,2.4884955395510486,9.267922266022016,3.0,1.5789528154920833,IT,Junior,Maestría,0
61.0,19.0,92418.54782058591,,7.2894463962267135,2.0,4.180303643493708,Ventas,Mid,Universitario,0
40.0,3.0,53497.10218205615,0.7701017563903989,7.455398091544186,5.0,1.992722310067074,Finanzas,Mid,Universitario,0
50.0,12.0,,1.212965512968157,6.963365570442434,2.0,2.2347849741489214,Marketing,Senior,Maestría,0
60.0,11.0,76128.49068065833,0.3478789124098574,5.295884758402545,2.0,4.191349093603735,RRHH,Senior,Universitario,0
27.0,1.0,44043.27867575871,2.765847897934603,5.829646404676822,5.0,4.435156223063474,Ventas,Mid,Universitario,0
31.0,,49766.85003648689,5.756420360204112,3.486833824312796,3.0,3.82261469936816,RRHH,Mid,Universitario,0
62.0,5.0,,2.121673315479342,6.652017945165955,2.0,1.4907112236830846,Marketing,Junior,Universitario,0
63.0,2.0,66436.41065894402,5.198099754434402,,5.0,2.2494662720182625,Ventas,Mid,Bachiller,0
26.0,,61900.8186663903,3.522706953704102,2.89969609486219,2.0,3.430739640914847,Ventas,Junior,Bachiller,0
45.0,19.0,,10.29385239089654,4.703068688001484,6.0,2.183225387911046,RRHH,Mid,Universitario,0
62.0,12.0,83477.78699611494,1.8315100859210927,5.066007907101026,4.0,2.3622944241146357,Ventas,Senior,Doctorado,0
43.0,15.0,74892.67696640536,10.433352183163947,5.3651880824045435,3.0,4.976594473371074,Ventas,Senior,Maestría,1
47.0,1.0,54833.43572926714,5.017538035902503,5.425930988102337,,4.574561914436236,IT,Mid,Bachiller,0
,15.0,84022.51203117572,5.491952840728759,8.59019955933329,4.0,3.857086975862899,Marketing,Junior,Maestría,0
50.0,7.0,68059.66154091737,1.0866116835831943,4.004503620576593,6.0,,Marketing,Junior,Maestría,0
,6.0,70637.26702242334,0.9583390621063173,1.7447792765975831,6.0,,Finanzas,Senior,Universitario,0
41.0,5.0,57108.904782351216,1.6440817388909221,1.5542925792087479,1.0,1.6760863330839841,Finanzas,Senior,Universitario,1
39.0,11.0,65399.807074423035,11.425585278556788,4.250679236252256,1.0,4.160885920411259,Marketing,Junior,Maestría,1
61.0,13.0,75340.09491263583,8.590300494212386,,5.0,1.0602269479702064,IT,Mid,Universitario,0
62.0,14.0,75647.4253026738,,7.6709111053734205,2.0,3.17991684259478,Finanzas,Senior,Universitario,0
,2.0,55042.95009752351,0.1119922417891271,6.928997233368706,1.0,4.863846867014539,Marketing,Mid,Bachiller,0
36.0,8.0,59293.818187279365,6.883765876265344,7.887332178466334,2.0,3.004427668182152,IT,Mid,Doctorado,0
45.0,17.0,72371.64326679286,1.8884437675763714,2.5778883259951155,3.0,2.2126576559809457,Marketing,Senior,Universitario,0
50.0,10.0,70209.130508737,23.628132813794842,,5.0,3.2644750037774806,Ventas,Mid,Maestría,0
38.0,2.0,66691.3575178192,0.8391974256907092,6.652016586153298,3.0,,Finanzas,Senior,Universitario,0
46.0,14.0,62937.60033790209,4.019672140172041,2.7470842740398047,3.0,2.243395012620839,IT,Junior,Universitario,0
37.0,4.0,58732.91035635517,6.91941436175624,3.3802795399302097,3.0,1.0896528296636894,Marketing,Senior,Doctorado,1
